Name,State,FR Ld,RF Ld,IR Ld,MAR Ld,MDR Ld,R/W,MOV,MA 1,MA 0,MB 1,MB 0,MC 1,MC 0,MD,ME,OP 4,OP 3,OP 2,OP 1,OP0 ,DT 1,DT 0
,142,,1,,,,,,,,1,0,0,0,1,,0,1,1,0,1,,
LDRB R - PRE,143,,1,,1,,,,0,0,0,0,1,0,1,,0,0,0,1,0,,
,144,,,,,,1,1,,,,,,,,,,,,,,,
,145,,,,,1,1,1,,,,,,,,0,,,,,,0,0
,146,,1,,,,,,,,1,0,0,0,1,,0,1,1,0,1,,
LDRB Imm - POS,147,,,,1,,,,0,0,0,1,,,1,,1,0,0,0,0,,
,148,,1,,,,1,1,0,0,,,1,0,1,,0,0,0,1,0,,
,149,,,,,1,1,1,,,,,,,,0,,,,,,0,0
,150,,1,,,,,,,,1,0,0,0,1,,0,1,1,0,1,,
LDRB R - POS,151,,,,1,,,,0,0,0,0,,,1,,1,0,0,0,0,,
,152,,1,,,,1,1,0,0,,,1,0,1,,0,0,0,1,0,,
,153,,,,,1,1,1,,,,,,,,0,,,,,,0,0
,154,,1,,,,,,,,1,0,0,0,1,,0,1,1,0,1,,
STR Imm - OFF,155,,,,1,,,,0,0,0,1,,,1,,0,0,0,1,0,,
,156,,,,,1,,,0,1,,,,,1,1,1,0,0,0,0,1,0
,157,,,,,,0,1,,,,,,,,,,,,,,,
,158,,,,,,0,1,,,,,,,,,,,,,,,
STR R - OFF,159,,,,1,,,,0,0,0,0,,,1,,0,0,0,1,0,,
,160,,,,,1,,,0,1,,,,,1,1,1,0,0,0,0,1,0
,161,,,,,,0,1,,,,,,,,,,,,,,,
,162,,,,,,0,1,,,,,,,,,,,,,,,
STR Imm - PRE,163,,1,,1,,,,0,0,0,1,1,0,1,,0,0,0,1,0,,
,164,,,,,1,,,0,1,,,,,1,1,1,0,0,0,0,1,0
,165,,,,,,0,1,,,,,,,,,,,,,,,
,166,,,,,,0,1,,,,,,,,,,,,,,,
STR R - PRE,167,,1,,1,,,,0,0,0,0,1,0,1,,0,0,0,1,0,,
,168,,,,,1,,,0,1,,,,,1,1,1,0,0,0,0,1,0
,169,,,,,,0,1,,,,,,,,,,,,,,,
,170,,,,,,0,1,,,,,,,,,,,,,,,
STR Imm - POS,171,,,,1,,,,0,0,0,1,,,1,,1,0,0,0,0,,
,172,,,,,1,,,0,1,,,,,1,1,1,0,0,0,0,1,0
,173,,1,,,,0,1,,,,,1,0,,,0,0,0,1,0,,
,174,,,,,,0,1,,,,,,,,,,,,,,,
STR R - POS,175,,,,1,,,,0,0,0,0,,,1,,1,0,0,0,0,,
,176,,,,,1,,,0,1,,,,,1,1,1,0,0,0,0,1,0
,177,,1,,,,0,1,,,,,1,0,,,0,0,0,1,0,,
,178,,,,,,0,1,,,,,,,,,,,,,,,
STRB Imm - OFF,179,,,,1,,,,0,0,0,1,,,1,,0,0,0,1,0,,
,180,,,,,1,,,0,1,,,,,1,1,1,0,0,0,0,0,0
,181,,,,,,0,1,,,,,,,,,,,,,,,
,182,,,,,,0,1,,,,,,,,,,,,,,,
STRB R - OFF,183,,,,1,,,,0,0,0,0,,,1,,0,0,0,1,0,,
,184,,,,,1,,,0,1,,,,,1,1,1,0,0,0,0,0,0
,185,,,,,,0,1,,,,,,,,,,,,,,,
,186,,,,,,0,1,,,,,,,,,,,,,,,
STRB Imm - PRE,187,,1,,1,,,,0,0,0,1,1,0,1,,0,0,0,1,0,,
,188,,,,,1,,,0,1,,,,,1,1,1,0,0,0,0,0,0
,189,,,,,,0,1,,,,,,,,,,,,,,,
,190,,,,,,0,1,,,,,,,,,,,,,,,
STRB R - PRE,191,,1,,1,,,,0,0,0,0,1,0,1,,0,0,0,1,0,,
,192,,,,,1,,,0,1,,,,,1,1,1,0,0,0,0,0,0
,193,,,,,,0,1,,,,,,,,,,,,,,,
,194,,,,,,0,1,,,,,,,,,,,,,,,
STRB Imm - POS,195,,,,1,,,,0,0,0,1,,,1,,1,0,0,0,0,,
,196,,,,,1,,,0,1,,,,,1,1,1,0,0,0,0,0,0
,197,,1,,,,0,1,,,,,1,0,,,0,0,0,1,0,,
,198,,,,,,0,1,,,,,,,,,,,,,,,
STRB R - POS,199,,,,1,,,,0,0,0,0,,,1,,1,0,0,0,0,,
,200,,,,,1,,,0,1,,,,,1,1,1,0,0,0,0,0,0
,201,,1,,,,0,1,,,,,1,0,,,0,0,0,1,0,,
,202,,,,,,0,1,,,,,,,,,,,,,,,
,,Instrucciones LOAD STORE Addresing Mode 3,,,,,,,,,,,,,,,,,,,,,
LDRD Imm + OFF,203,,,,1,,,,0,0,0,1,,,1,,0,0,1,0,0,,
,204,,,,,,1,1,,,,,,,,,,,,,,,
,205,,,,,1,1,1,,,,,,,,0,,,,,,1,1
,206,,1,,,,,,,,1,0,0,0,1,,0,1,1,0,1,,
LDRD R + OFF,207,,,,1,,,,0,0,0,0,,,1,,0,0,1,0,0,,
,208,,,,,,1,1,,,,,,,,,,,,,,,
,209,,,,,1,1,1,,,,,,,,0,,,,,,1,1
,210,,1,,,,,,,,1,0,0,0,1,,0,1,1,0,1,,
LDRD Imm + PRE,211,,1,,1,,,,0,0,0,1,1,0,1,,0,0,1,0,0,,
,212,,,,,,1,1,,,,,,,,,,,,,,,
,213,,,,,1,1,1,,,,,,,,0,,,,,,1,1
,214,,1,,,,,,,,1,0,0,0,1,,0,1,1,0,1,,
LDRD R + PRE,215,,1,,1,,,,0,0,0,0,1,0,1,,0,0,1,0,0,,
,216,,,,,,1,1,,,,,,,,,,,,,,,
,217,,,,,1,1,1,,,,,,,,0,,,,,,1,1
,218,,1,,,,,,,,1,0,0,0,1,,0,1,1,0,1,,
LDRD Imm + POS,219,,,,1,,,,0,0,0,1,,,1,,1,0,0,0,0,,
,220,,1,,,,1,1,0,0,,,1,0,1,,0,0,1,0,0,,
,221,,,,,1,1,1,,,,,,,,0,,,,,,1,1
,222,,1,,,,,,,,1,0,0,0,1,,0,1,1,0,1,,
LDRD R + POS,223,,,,1,,,,0,0,0,0,,,1,,1,0,0,0,0,,
,224,,1,,,,1,1,0,0,,,1,0,1,,0,0,1,0,0,,
